# Simulated electronic absorption spectrum for
# Energy unit cm^(-1)
# Gaussian line shape
# rms linewidth  0.1500 eV
# Scaling factor        1.000
# Decadic molar absorption coefficient in l/(mol*cm)
 0.56950000000000E+04   0.22706477230660E+04
 0.57800000000000E+04   0.24467834706315E+04
 0.58650000000000E+04   0.26235997096119E+04
 0.59500000000000E+04   0.27993414206381E+04
 0.60350000000000E+04   0.29721479656820E+04
 0.61200000000000E+04   0.31400838381172E+04
 0.62050000000000E+04   0.33011732855885E+04
 0.62900000000000E+04   0.34534379931650E+04
 0.63750000000000E+04   0.35949368582186E+04
 0.64600000000000E+04   0.37238067627031E+04
 0.65450000000000E+04   0.38383031603160E+04
 0.66300000000000E+04   0.39368392512171E+04
 0.67150000000000E+04   0.40180225194590E+04
 0.68000000000000E+04   0.40806874597489E+04
 0.68850000000000E+04   0.41239234199361E+04
 0.69700000000000E+04   0.41470966306013E+04
 0.70550000000000E+04   0.41498656778978E+04
 0.71400000000000E+04   0.41321898928605E+04
 0.72250000000000E+04   0.40943303705543E+04
 0.73100000000000E+04   0.40368435852315E+04
 0.73950000000000E+04   0.39605678220055E+04
 0.74800000000000E+04   0.38666028902045E+04
 0.75650000000000E+04   0.37562838078759E+04
 0.76500000000000E+04   0.36311493412704E+04
 0.77350000000000E+04   0.34929064395315E+04
 0.78200000000000E+04   0.33433917172410E+04
 0.79050000000000E+04   0.31845312021600E+04
 0.79900000000000E+04   0.30182995811167E+04
 0.80750000000000E+04   0.28466801445768E+04
 0.81600000000000E+04   0.26716265533009E+04
 0.82450000000000E+04   0.24950274339544E+04
 0.83300000000000E+04   0.23186746615283E+04
 0.84150000000000E+04   0.21442360130526E+04
 0.85000000000000E+04   0.19732326881606E+04
 0.85850000000000E+04   0.18070219965808E+04
 0.86700000000000E+04   0.16467853193099E+04
 0.87550000000000E+04   0.14935212670551E+04
 0.88400000000000E+04   0.13480437934394E+04
 0.89250000000000E+04   0.12109848770166E+04
 0.90100000000000E+04   0.10828012693940E+04
 0.90950000000000E+04   0.96378471916384E+03
 0.91800000000000E+04   0.85407502379020E+03
 0.92650000000000E+04   0.75367523351031E+03
 0.93500000000000E+04   0.66246833083509E+03
 0.94350000000000E+04   0.58023473346496E+03
 0.95200000000000E+04   0.50667001368979E+03
 0.96050000000000E+04   0.44140228941831E+03
 0.96900000000000E+04   0.38400881645368E+03
 0.97750000000000E+04   0.33403139408542E+03
 0.98600000000000E+04   0.29099028232030E+03
 0.99450000000000E+04   0.25439641535047E+03
 0.10030000000000E+05   0.22376177890769E+03
 0.10115000000000E+05   0.19860789633730E+03
 0.10200000000000E+05   0.17847243754015E+03
 0.10285000000000E+05   0.16291402499474E+03
 0.10370000000000E+05   0.15151536108798E+03
 0.10455000000000E+05   0.14388484066382E+03
 0.10540000000000E+05   0.13965684218444E+03
 0.10625000000000E+05   0.13849091066242E+03
 0.10710000000000E+05   0.14007005627975E+03
 0.10795000000000E+05   0.14409839523425E+03
 0.10880000000000E+05   0.15029835480386E+03
 0.10965000000000E+05   0.15840765388095E+03
 0.11050000000000E+05   0.16817625427338E+03
 0.11135000000000E+05   0.17936345783077E+03
 0.11220000000000E+05   0.19173530081586E+03
 0.11305000000000E+05   0.20506237073492E+03
 0.11390000000000E+05   0.21911814285842E+03
 0.11475000000000E+05   0.23367790466397E+03
 0.11560000000000E+05   0.24851830715906E+03
 0.11645000000000E+05   0.26341755322350E+03
 0.11730000000000E+05   0.27815620547815E+03
 0.11815000000000E+05   0.29251857045367E+03
 0.11900000000000E+05   0.30629459269884E+03
 0.11985000000000E+05   0.31928217259017E+03
 0.12070000000000E+05   0.33128980557662E+03
 0.12155000000000E+05   0.34213942891733E+03
 0.12240000000000E+05   0.35166935502341E+03
 0.12325000000000E+05   0.35973716852243E+03
 0.12410000000000E+05   0.36622246717511E+03
 0.12495000000000E+05   0.37102933464051E+03
 0.12580000000000E+05   0.37408844546205E+03
 0.12665000000000E+05   0.37535871898133E+03
 0.12750000000000E+05   0.37482845844977E+03
 0.12835000000000E+05   0.37251593350732E+03
 0.12920000000000E+05   0.36846938742118E+03
 0.13005000000000E+05   0.36276647393957E+03
 0.13090000000000E+05   0.35551315120458E+03
 0.13175000000000E+05   0.34684208080804E+03
 0.13260000000000E+05   0.33691059777330E+03
 0.13345000000000E+05   0.32589833115415E+03
 0.13430000000000E+05   0.31400456439454E+03
 0.13515000000000E+05   0.30144542914380E+03
 0.13600000000000E+05   0.28845102567696E+03
 0.13685000000000E+05   0.27526255748876E+03
 0.13770000000000E+05   0.26212955733791E+03
 0.13855000000000E+05   0.24930726758203E+03
 0.13940000000000E+05   0.23705421985514E+03
 0.14025000000000E+05   0.22563003897356E+03
 0.14110000000000E+05   0.21529347452876E+03
 0.14195000000000E+05   0.20630064214212E+03
 0.14280000000000E+05   0.19890343605570E+03
 0.14365000000000E+05   0.19334805682697E+03
 0.14450000000000E+05   0.18987358351681E+03
 0.14535000000000E+05   0.18871050990034E+03
 0.14620000000000E+05   0.19007915969496E+03
 0.14705000000000E+05   0.19418789716030E+03
 0.14790000000000E+05   0.20123105698128E+03
 0.14875000000000E+05   0.21138653110228E+03
 0.14960000000000E+05   0.22481296982786E+03
 0.15045000000000E+05   0.24164657941378E+03
 0.15130000000000E+05   0.26199752760525E+03
 0.15215000000000E+05   0.28594600091147E+03
 0.15300000000000E+05   0.31353799136397E+03
 0.15385000000000E+05   0.34478092441873E+03
 0.15470000000000E+05   0.37963927172628E+03
 0.15555000000000E+05   0.41803032085163E+03
 0.15640000000000E+05   0.45982029685357E+03
 0.15725000000000E+05   0.50482104623537E+03
 0.15810000000000E+05   0.55278750068646E+03
 0.15895000000000E+05   0.60341613509857E+03
 0.15980000000000E+05   0.65634462081858E+03
 0.16065000000000E+05   0.71115285073437E+03
 0.16150000000000E+05   0.76736547785361E+03
 0.16235000000000E+05   0.82445606436744E+03
 0.16320000000000E+05   0.88185288519479E+03
 0.16405000000000E+05   0.93894637061375E+03
 0.16490000000000E+05   0.99509810920754E+03
 0.16575000000000E+05   0.10496512677612E+04
 0.16660000000000E+05   0.11019422219639E+04
 0.16745000000000E+05   0.11513131339274E+04
 0.16830000000000E+05   0.11971251626847E+04
 0.16915000000000E+05   0.12387719548223E+04
 0.17000000000000E+05   0.12756930366571E+04
 0.17085000000000E+05   0.13073867187933E+04
 0.17170000000000E+05   0.13334221297083E+04
 0.17255000000000E+05   0.13534500176651E+04
 0.17340000000000E+05   0.13672119993911E+04
 0.17425000000000E+05   0.13745479883908E+04
 0.17510000000000E+05   0.13754016035040E+04
 0.17595000000000E+05   0.13698234367039E+04
 0.17680000000000E+05   0.13579721448579E+04
 0.17765000000000E+05   0.13401134195651E+04
 0.17850000000000E+05   0.13166169782553E+04
 0.17935000000000E+05   0.12879518044750E+04
